family,tag,n,idx,decoder,method,dim,budget,f_opt,srate,nr,mean_gap,median_best,median_ftt
uflp,,12,1,penalty,floor,12,120000,398,1.0,0.00158,0.0,398,190
uflp,,12,1,penalty,ils,12,120000,398,1.0,0.00094,0.0,398,113
uflp,,12,1,penalty,ga,12,120000,398,1.0,0.00175,0.0,398,210
uflp,,12,1,penalty,mga,12,120000,398,1.0,0.00111,0.0,398,133
uflp,,12,1,penalty,bpso,12,120000,398,1.0,0.0025,0.0,398,300
uflp,,12,1,penalty,mbpso,12,120000,398,1.0,0.00114,0.0,398,137
uflp,,12,0,penalty,mbde,12,120000,420,0.9677,0.00122,0.000538,420,146.5
uflp,,12,1,penalty,mbde,12,120000,398,1.0,0.00118,0.0,398,142
uflp,,12,2,penalty,floor,12,120000,474,1.0,0.00198,0.0,474,238
uflp,,12,2,penalty,ils,12,120000,474,1.0,0.00088,0.0,474,105
uflp,,12,2,penalty,ga,12,120000,474,1.0,0.00175,0.0,474,210
uflp,,12,2,penalty,mga,12,120000,474,1.0,0.0012,0.0,474,144
uflp,,12,1,penalty,bde,12,120000,398,0.9677,0.00225,0.002513,398,270.0
uflp,,12,2,penalty,mbpso,12,120000,474,1.0,0.00128,0.0,474,153
uflp,,12,2,penalty,bpso,12,120000,474,1.0,0.006,0.0,474,720
uflp,,12,2,penalty,bde,12,120000,474,0.9355,0.002,0.001906,474,240
uflp,,12,2,penalty,mbde,12,120000,474,0.9032,0.00119,0.00245,474,142.5
uflp,,16,0,penalty,floor,16,160000,531,1.0,0.00226,0.0,531,361
uflp,,16,0,penalty,ils,16,160000,531,1.0,0.00113,0.0,531,181
uflp,,16,0,penalty,ga,16,160000,531,1.0,0.00206,0.0,531,330
uflp,,16,0,penalty,mga,16,160000,531,1.0,0.00118,0.0,531,189
uflp,,16,0,penalty,mbpso,16,160000,531,1.0,0.00118,0.0,531,189
uflp,,16,0,penalty,bpso,16,160000,531,1.0,0.00469,0.0,531,750
uflp,,16,0,penalty,mbde,16,160000,531,1.0,0.00116,0.0,531,186
uflp,,16,1,penalty,floor,16,160000,491,1.0,0.00294,0.0,491,471
uflp,,16,1,penalty,ils,16,160000,491,1.0,0.00108,0.0,491,172
uflp,,16,1,penalty,ga,16,160000,491,1.0,0.00281,0.0,491,450
uflp,,16,1,penalty,mga,16,160000,491,1.0,0.00126,0.0,491,201
uflp,,16,1,penalty,bpso,16,160000,491,1.0,0.00806,0.0,491,1290
uflp,,16,1,penalty,mbpso,16,160000,491,1.0,0.00134,0.0,491,214
uflp,,16,1,penalty,bde,16,160000,491,0.9032,0.00263,0.002168,491,420.0
uflp,,16,1,penalty,mbde,16,160000,491,1.0,0.00121,0.0,491,193
uflp,,16,2,penalty,floor,16,160000,462,1.0,0.00291,0.0,462,465
uflp,,16,2,penalty,ils,16,160000,462,1.0,0.00166,0.0,462,266
uflp,,16,2,penalty,ga,16,160000,462,1.0,0.00263,0.0,462,420
uflp,,16,2,penalty,mga,16,160000,462,1.0,0.00178,0.0,462,285
uflp,,16,2,penalty,bpso,16,160000,462,1.0,0.009,0.0,462,1440
uflp,,16,2,penalty,mbpso,16,160000,462,1.0,0.00162,0.0,462,260
uflp,,16,0,penalty,bde,16,160000,531,0.8065,0.00337,0.000364,531,540
uflp,,16,2,penalty,mbde,16,160000,462,0.9677,0.0018,0.001676,462,288.5
uflp,,18,0,penalty,floor,18,180000,492,1.0,0.00273,0.0,492,491
uflp,,18,0,penalty,ils,18,180000,492,1.0,0.00101,0.0,492,181
uflp,,18,0,penalty,ga,18,180000,492,1.0,0.00183,0.0,492,330
